Practice,Frecuency,Innovation Adoption Rate (%)
Fertilizacion,9948,67%
Poscosecha,4995,34%
Composta,2956,20%
Maíz_mejorado_MasAgro,2523,17%
Micronutrientes,2107,14%
Feromonas,1978,13%
Subsoleo,1686,11%
Siembra_directa,1590,11%
Tratamiento_semillas,1471,10%
Micorrizas,1073,7%
Análisis_suelo,921,6%
Mejoradores_suelo,906,6%
Rastrojo,797,5%
Biofertilizantes,647,4%
Monitoreo_plagas,562,4%
Cal_micronizada,434,3%
Insectos_beneficos,405,3%
Desvare,367,2%
Camas_permanentes,209,1%
Semillas_mejoradas_diversas,204,1%
Análisis_foliar,200,1%
Bioinsecticidas,160,1%
Nivelación_suelos,84,1%
Criollos_mejorados,66,0%
Cultivos_cobertura,54,0%
Rastra,37,0%
Maiz_hibridos_MasAgro,30,0%
