,Clientes,Productores,FM,IE,IG,MQ,OR,Proveedores,PSP
Fertilización,122,2748,83,175,1791,113,96,2473,2337
Maiz_mejorado_MasAgro,67,307,31,124,278,35,15,767,896
Subsoleo,11,727,32,25,107,269,15,70,425
Tratamiento_semillas,9,154,24,2,95,3,10,555,617
Micorrizas,3,54,6,44,85,2,11,44,822
Analisis_suelo,1,112,1,34,158,0,54,45,516
Biofertilizantes,1,54,1,2,220,0,1,88,280
Monitoreo_plagas,2,73,0,0,15,1,0,10,461
Cal_micronizada,0,53,0,0,0,0,0,1,380
Desvare,2,295,13,4,1,16,0,20,16
Camas_permanentes,3,63,0,19,2,7,4,8,103
Semillas_mejoradas_diversas,0,16,0,2,39,0,4,91,52
Bioinsecticidas,0,4,0,0,7,0,0,0,149
NivelaciÛn_suelos,0,39,1,1,2,16,14,2,9
Criollos_mejorados,0,35,0,13,5,1,2,0,9
Rastra,0,22,1,0,1,13,0,0,0
MaÌz_hÌbridos_MasAgro,0,1,0,0,0,0,0,29,0
