Num,Clave_Nal,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Edad18,Sup18,Esc18,CRend,Crad,CCli,CPrec,CAuto,Cint
1,CAMER002,16.66666667,5.882352941,10.78431373,1,53,12,9,2.5,0,1,-300,-90,0
2,CAMER004,16.66666667,5.882352941,10.78431373,1,58,9,9,0,0,0,100,0,0
3,CAMER005,16.66666667,5.882352941,10.78431373,1,47,12,6,2.7,0,0,100,-20,0
4,CAMER007,16.66666667,5.882352941,10.78431373,1,45,15,9,1.3,0,0,200,0,0
5,CAMER008,16.66666667,5.882352941,10.78431373,1,54,15,6,3,0,0,0,-20,0
6,CAMER009,16.66666667,5.882352941,10.78431373,1,43,5,6,3.6,0,1,800,-90,0
7,CAMER010,16.66666667,5.882352941,10.78431373,1,43,5,6,2,0,1,300,0,0
8,CAMER011,16.66666667,5.882352941,10.78431373,1,57,6,6,2,0,0,300,-15,0
9,CAMER014,11.11111111,5.882352941,5.22875817,1,51,2,6,1,-0.17,0,0,-10,0
10,CAMER017,22.22222222,5.882352941,16.33986928,1,50,30,6,0,0,-1,1000,-20,0
11,CAMER018,22.22222222,5.882352941,16.33986928,1,52,18,0,0.5,0,-1,900,-40,0
12,CAMER019,22.22222222,5.882352941,16.33986928,1,43,15,9,0.5,0,-1,1000,-40,0
13,CAMER021,22.22222222,5.882352941,16.33986928,1,48,10,6,0.5,0,-1,900,-65,0
14,CAMER022,22.22222222,5.882352941,16.33986928,1,45,9,6,1,0,-1,1000,0,0
15,CAMER023,22.22222222,5.882352941,16.33986928,1,71,7,0,0.8,0,-1,1000,-10,0
16,CAMER026,22.22222222,5.882352941,16.33986928,1,68,20,6,0,-0.171,-1,1000,0,0
17,CAMER027,22.22222222,5.882352941,16.33986928,1,45,23,6,0.5,0.169,0,400,-8,0
18,CAMER028,22.22222222,5.882352941,16.33986928,1,43,14,6,0,0,-1,1000,5,0
19,CAMER029,22.22222222,5.882352941,16.33986928,1,48,30,6,1,0,-1,900,0,0
20,CAMER030,16.66666667,5.882352941,10.78431373,1,38,8,1,0,0,0,500,5,0
21,CAMER032,5.555555556,5.882352941,-0.326797386,0,47,8,6,0,-0.17,0,400,0,0
22,CAMER033,5.555555556,5.882352941,-0.326797386,0,46,5,6,0,-0.17,0,-400,0,0
23,CAMER034,11.11111111,5.882352941,5.22875817,1,52,10,6,1,0,1,-200,-15,0
24,CAMER035,16.66666667,5.882352941,10.78431373,1,53,20,0,0.5,0,0,400,-20,0
25,CAMER036,16.66666667,5.882352941,10.78431373,1,45,10,9,-1.5,0,0,400,5,0
26,CAMER037,16.66666667,5.882352941,10.78431373,1,44,12,6,-1,-0.171,0,500,0,0
27,CAMER039,22.22222222,5.882352941,16.33986928,1,53,11,6,-1,0.169,0,-100,15,0
28,CAMER040,22.22222222,5.882352941,16.33986928,1,47,13,9,0,0.169,0,-100,5,0
29,CAMER041,22.22222222,5.882352941,16.33986928,1,65,10,6,0.5,-0.001,0,-100,-5,0
30,CAMER043,16.66666667,5.882352941,10.78431373,1,56,5,9,0.5,0.169,-1,-700,5,0
31,CAMER044,11.11111111,5.882352941,5.22875817,1,59,3,0,0,0,0,-400,0,0
32,CAMER046,11.11111111,5.882352941,5.22875817,1,66,5,3,-1,0.169,0,0,5,0
33,CAMER050,11.11111111,5.882352941,5.22875817,1,56,3,3,-0.5,0.169,0,0,8,0
34,CAMER051,11.11111111,5.882352941,5.22875817,1,69,1,0,-0.5,0.169,0,0,90,0
35,CAMER052,11.11111111,5.882352941,5.22875817,1,63,4,2,0,0.169,0,0,5,0
36,CAMER053,11.11111111,5.882352941,5.22875817,1,68,3,16,-0.5,0.169,0,0,0,0
37,CAMER054,11.11111111,5.882352941,5.22875817,1,72,2,0,0,0.169,1,0,-90,0
38,CAMER056,11.11111111,5.882352941,5.22875817,1,84,1,0,-0.3,0.169,0,-320,0,0
39,CAMER057,11.11111111,5.882352941,5.22875817,1,54,1,9,0.5,0.169,0,-200,0,0
40,CAMER058,11.11111111,5.882352941,5.22875817,1,62,5,0,0,0.169,0,0,0,0
41,CAMER059,11.11111111,5.882352941,5.22875817,1,52,3,1,0.5,0.169,0,0,-15,0
42,CAMER061,22.22222222,11.76470588,10.45751634,1,63,1,0,1.5,0.169,0,0,-3,0
43,CAMER063,11.11111111,5.882352941,5.22875817,1,51,3,1,0.5,0.169,0,0,-1,0
44,CAMER066,22.22222222,11.76470588,10.45751634,1,52,5,2,0.5,0.509,-1,1100,80,0
45,CAMER068,11.11111111,5.882352941,5.22875817,1,63,1,0,2.7,-0.511,0,0,0,0
46,CAMER071,11.11111111,5.882352941,5.22875817,1,54,1.5,2,0,0.169,0,2500,0,0
47,CAMER073,16.66666667,5.882352941,10.78431373,1,59,2,0,1.5,0.169,0,0,-5,0
48,CAMER074,11.11111111,5.882352941,5.22875817,1,59,3,0,1.5,0,0,-300,0,0
49,CAMER076,11.11111111,5.882352941,5.22875817,1,65,2,0,1,0,0,-300,-20,0
50,CAMER077,11.11111111,5.882352941,5.22875817,1,56,2,2,1.5,0.169,0,0,-10,0
51,CAMER079,11.11111111,5.882352941,5.22875817,1,78,2.5,0,1,0,0,-300,-20,0.17
52,CAMER080,16.66666667,5.882352941,10.78431373,1,66,2,0,0.4,0,0,-1500,0,0
53,CAMER081,22.22222222,5.882352941,16.33986928,1,66,4,0,0.2,0.169,0,200,0,0
54,CAMER082,11.11111111,5.882352941,5.22875817,1,77,1,0,0,-0.34,0,-400,0,0
55,CAMER083,22.22222222,11.76470588,10.45751634,1,67,0.25,0,-0.4,0.169,0,-2400,0,0
56,CAMER084,11.11111111,5.882352941,5.22875817,1,48,1,2,0.5,0,1,-800,0,0
57,CAMER085,11.11111111,5.882352941,5.22875817,1,52,2,1,0.5,0,0,-300,0,0
58,CAMER086,11.11111111,5.882352941,5.22875817,1,63,1,0,0.7,0,0,500,0,0
59,CAMER087,11.11111111,5.882352941,5.22875817,1,62,1.5,0,1.5,0,1,-600,0,0
60,CAMER088,22.22222222,5.882352941,16.33986928,1,49,1,0,-0.2,0.169,0,-1300,0,0
61,CAMER089,11.11111111,5.882352941,5.22875817,1,59,1,0,0.1,0.34,0,800,0,0
62,CAMER091,22.22222222,5.882352941,16.33986928,1,63,2,0,0.2,-0.171,0,-700,0,0
63,CAMER092,22.22222222,11.76470588,10.45751634,1,64,4,1,0,0.509,0,-300,-15,0
64,CAMER093,16.66666667,0,16.66666667,1,57,1,2,0.3,0,0,0,0,0
65,CAMER094,16.66666667,5.882352941,10.78431373,1,39,2,4,0.1,0,0,-400,0,0
66,CAMER095,11.11111111,5.882352941,5.22875817,1,72,5,0,0.5,0.169,0,0,5,0
67,CAMER097,16.66666667,5.882352941,10.78431373,1,60,2,0,0.1,0,0,-100,0,0
68,CAMER098,16.66666667,5.882352941,10.78431373,1,50,2,0,0,0,0,0,0,0
69,CAMER099,16.66666667,5.882352941,10.78431373,1,57,1,0,0.1,0,0,200,0,0
70,CAMER100,16.66666667,5.882352941,10.78431373,1,57,1,1,0.3,0,0,-50,0,0
71,CAMER101,16.66666667,5.882352941,10.78431373,1,64,1,0,1.1,0,0,400,0,0
72,CAMER102,16.66666667,5.882352941,10.78431373,1,62,1,0,0.1,0,0,0,0,0
73,CAMER103,16.66666667,5.882352941,10.78431373,1,65,1,0,0.2,0,0,300,0,0
74,CAMER104,16.66666667,5.882352941,10.78431373,1,62,1,0,0.2,0.169,0,-3400,0,0
75,CAMER106,11.11111111,5.882352941,5.22875817,1,75,1,0,1.8,0.169,0,-1700,0,0
76,CAMER108,11.11111111,5.882352941,5.22875817,1,81,1,0,1.5,0.169,0,-350,0,0
77,CAMER109,11.11111111,5.882352941,5.22875817,1,78,1,0,0,0.169,-1,500,85,0
78,CAMER110,11.11111111,5.882352941,5.22875817,1,68,1,0,0.5,0.169,-1,100,90,0
79,CAMER111,11.11111111,5.882352941,5.22875817,1,80,1.5,0,-0.7,0.169,-1,-100,95,0
80,CAMER112,11.11111111,5.882352941,5.22875817,1,58,1,0,0.5,0.169,0,600,0,0
81,CAMER113,11.11111111,5.882352941,5.22875817,1,79,2,0,0.5,0.169,1,-2800,0,0
82,CAMER114,11.11111111,5.882352941,5.22875817,1,66,1,0,-1.5,0.169,-1,100,95,0
